title,make,model,year,condition,transmission,price
Lexus RX 350 F SPORT AWD 2023 Silver,Lexus,RX 350,2023,foreign used,automatic,"₦ 117,000,000"
Mercedes-Benz GLK-Class 2013 Black,Mercedes-Benz,GLK-Class,2013,foreign used,automatic,"₦ 17,700,000"
Nissan 370Z 2024 Yellow,Nissan,370Z,2024,foreign used,manual,"₦ 52,000,000"
Lexus GX 2014 Gray,Lexus,GX,2014,foreign used,automatic,"₦ 36,500,000"
Lexus GX 2015 Black,Lexus,GX,2015,foreign used,automatic,"₦ 31,000,000"
Mercedes-Benz C200 2017 White,Mercedes-Benz,C200,2017,foreign used,automatic,"₦ 23,000,000"
Ford F-150 SuperCrew 2008 White,Ford,F-150 SuperCrew,2008,foreign used,automatic,"₦ 13,800,000"
Ford Fusion SEL 2012 White,Ford,Fusion SEL,2012,foreign used,automatic,"₦ 11,998,999"
Honda Pilot 2008 Black,Honda,Pilot,2008,local used,automatic,"₦ 4,500,000"
Toyota Camry 2016 White,Toyota,Camry,2016,foreign used,automatic,"₦ 15,300,000"
Toyota Highlander 2010 Gray,Toyota,Highlander,2010,foreign used,automatic,"₦ 13,800,000"
Lexus RX 2006 Silver,Lexus,RX,2006,local used,automatic,"₦ 6,800,000"
Mercedes-Benz C300 2010 White,Mercedes-Benz,C300,2010,local used,automatic,"₦ 4,700,000"
Lexus RX 2007 Gold,Lexus,RX,2007,local used,automatic,"₦ 6,200,000"
Mercedes-Benz C300 2009 Black,Mercedes-Benz,C300,2009,local used,automatic,"₦ 4,800,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry SE,2016,foreign used,automatic,"₦ 14,000,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6A) 2012 Black,Toyota,Camry SE,2012,foreign used,automatic,"₦ 14,650,000"
Mercedes-Benz C43 2019 White,Mercedes-Benz,C43,2019,foreign used,automatic,"₦ 60,000,000"
Hyundai Tucson Eco AWD 2016 Black,Hyundai,Tucson Eco,2016,foreign used,automatic,"₦ 16,500,000"
Lexus GX 460 Base 2020 Black,Lexus,GX 460,2020,foreign used,automatic,"₦ 42,000,000"
New Toyota Land Cruiser Prado 2.4 Petrol 2025 Black,New,Toyota Land,2025,brand new,automatic,"₦ 100,000,000"
Lexus GX 460 Luxury 2019 Black,Lexus,GX 460,2019,foreign used,automatic,"₦ 41,000,000"
Toyota Corolla 2006 Black,Toyota,Corolla,2006,local used,automatic,"₦ 4,450,000"
Acura MDX w/Technology & Ent. Pkgs SH-AWD 2017 Gray,Acura,MDX w,2017,foreign used,automatic,"₦ 22,800,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Black,Toyota,Corolla LE,2012,foreign used,automatic,"₦ 11,500,000"
Toyota Camry 2016 Gray,Toyota,Camry,2016,local used,automatic,"₦ 11,400,000"
Toyota Land Cruiser 2009 Black,Toyota,Land Cruiser,2009,local used,automatic,"₦ 18,000,000"
Nissan Rogue S 2008 Gray,Nissan,Rogue S,2008,foreign used,automatic,"₦ 8,599,999"
Honda Accord 2000 Silver,Honda,Accord,2000,local used,manual,"₦ 1,800,000"
Toyota Highlander 2005,Toyota,Highlander,2005,local used,automatic,"₦ 5,600,000"
Mercedes-Benz GLK-Class 2014 Black,Mercedes-Benz,GLK-Class,2014,local used,automatic,"₦ 12,000,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Silver,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 27,999,999"
Toyota Highlander Limited 2011 Gray,Toyota,Highlander Limited,2011,foreign used,automatic,"₦ 17,500,000"
Honda Accord 2013 Black,Honda,Accord,2013,foreign used,automatic,"₦ 12,900,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 4A) 2004 Silver,Toyota,Camry LE,2004,local used,automatic,"₦ 3,500,000"
Lexus RX 2011 Silver,Lexus,RX,2011,local used,automatic,"₦ 11,000,000"
Toyota RAV4 2015 Red,Toyota,RAV4,2015,foreign used,automatic,"₦ 17,000,000"
Hyundai Accent 2013 White,Hyundai,Accent,2013,foreign used,automatic,"₦ 12,700,000"
Honda Accord EX 4dr Sedan (2.4L 4cyl CVT) 2015 Black,Honda,Accord EX,2015,foreign used,automatic,"₦ 11,550,000"
Lexus RX 350 2010 Silver,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,500,000"
Toyota Camry SE Limited Edition 4dr Sedan (2.5L 4cyl 6A) 2012 White,Toyota,Camry SE,2012,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 White,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 68,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry SE,2014,foreign used,automatic,"₦ 11,300,000"
Lexus RX 350 2011 Black,Lexus,RX 350,2011,foreign used,automatic,"₦ 17,000,000"
Suzuki US 2013 White,Suzuki,US,2013,foreign used,manual,"₦ 4,200,000"
Mercedes-Benz GLC-Class 2018 Silver,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 40,000,000"
New Denza Z9 2025 Black,New,Denza Z9,2025,brand new,automatic,"₦ 160,000,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,automatic,"₦ 6,800,000"
Honda Accord 2005 Blue,Honda,Accord,2005,local used,automatic,"₦ 2,450,000"
Mercedes-Benz E-Class 2019 Red,Mercedes-Benz,E-Class,2019,foreign used,automatic,"₦ 36,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Gray,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 37,000,000"
Rover Land 2015 Blue,Rover,Land,2015,foreign used,automatic,"₦ 35,000,000"
Toyota Avalon 2013 Gray,Toyota,Avalon,2013,foreign used,automatic,"₦ 17,000,000"
Toyota Camry 2009 Silver,Toyota,Camry,2009,local used,automatic,"₦ 6,850,000"
Lexus ES 350 2008 Red,Lexus,ES 350,2008,local used,automatic,"₦ 6,800,000"
Lexus RX 2019 White,Lexus,RX,2019,local used,automatic,"₦ 32,000,000"
Suzuki Grand Vitara 2008 Red,Suzuki,Grand Vitara,2008,local used,manual,"₦ 3,400,000"
Lexus ES 2003 Green,Lexus,ES,2003,local used,automatic,"₦ 4,500,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,foreign used,automatic,"₦ 7,950,000"
Toyota Camry XLE 4dr Sedan (3.5L 6cyl 6A) 2014 Silver,Toyota,Camry XLE,2014,foreign used,automatic,"₦ 14,000,000"
Lexus RX 350 2010 Silver,Lexus,RX 350,2010,local used,automatic,"₦ 12,800,000"
New BYD Song Plus DM-i 2025 Blue,New,BYD Song,2025,brand new,automatic,"₦ 77,000,000"
Mercedes-Benz C350 2010 Black,Mercedes-Benz,C350,2010,local used,automatic,"₦ 5,800,000"
Acura MDX 2015 Silver,Acura,MDX,2015,foreign used,automatic,"₦ 17,000,000"
Toyota Yaris 2008 Black,Toyota,Yaris,2008,local used,automatic,"₦ 5,200,000"
Honda CR-V 2013 Gray,Honda,CR-V,2013,local used,automatic,"₦ 8,800,000"
Opel Zafira 2005 Blue,Opel,Zafira,2005,foreign used,automatic,"₦ 8,950,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Black,Toyota,Camry LE,2010,foreign used,automatic,"₦ 5,700,000"
Volkswagen Vento 2006 Silver,Volkswagen,Vento,2006,local used,automatic,"₦ 3,300,000"
Mercedes-Benz GLK-Class 2014 Black,Mercedes-Benz,GLK-Class,2014,local used,automatic,"₦ 6,500,000"
Honda CR-V 2000 Blue,Honda,CR-V,2000,local used,automatic,"₦ 3,950,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Red,Toyota,Camry LE,2008,local used,automatic,"₦ 5,500,000"
Toyota Highlander 2016 Gray,Toyota,Highlander,2016,foreign used,automatic,"₦ 26,500,000"
Mercedes-Benz GLA 250 2015 Red,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 22,000,000"
Mazda 5 2.0L Active 2007 Gray,Mazda,5 2,2007,local used,automatic,"₦ 3,100,000"
Toyota Highlander 2012 Silver,Toyota,Highlander,2012,foreign used,automatic,"₦ 18,500,000"
Mercedes-Benz GL-Class GL 450 2010 Silver,Mercedes-Benz,GL-Class GL,2010,local used,automatic,"₦ 7,000,000"
Toyota Sienna 2009 White,Toyota,Sienna,2009,foreign used,automatic,"₦ 13,500,000"
Lexus GX 2016 Black,Lexus,GX,2016,local used,automatic,"₦ 27,000,000"
Toyota 4-Runner 2007 Black,Toyota,4-Runner,2007,local used,automatic,"₦ 7,200,000"
Toyota Avensis 2013 Black,Toyota,Avensis,2013,local used,automatic,"₦ 5,200,000"
Mercedes-Benz GLE-Class 2016 Black,Mercedes-Benz,GLE-Class,2016,local used,automatic,"₦ 18,700,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2016 Red,Toyota,Corolla S,2016,foreign used,automatic,"₦ 13,998,999"
Toyota RAV4 2015 Black,Toyota,RAV4,2015,foreign used,automatic,"₦ 22,500,000"
Honda Civic 2007 Silver,Honda,Civic,2007,foreign used,automatic,"₦ 4,500,000"
Toyota Camry XSE FWD (2.5L 4cyl 8AM) 2018 Black,Toyota,Camry XSE,2018,foreign used,automatic,"₦ 28,500,000"
Ford Ecosport 2021 Blue,Ford,Ecosport,2021,foreign used,automatic,"₦ 16,500,000"
Mercedes-Benz E350 2016 Black,Mercedes-Benz,E350,2016,foreign used,automatic,"₦ 17,800,000"
Toyota Venza AWD 2010 White,Toyota,Venza AWD,2010,foreign used,automatic,"₦ 13,500,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2010 Gray,Toyota,Corolla S,2010,foreign used,automatic,"₦ 9,500,000"
Toyota Camry 2004 Green,Toyota,Camry,2004,local used,automatic,"₦ 3,300,000"
Lexus RX 2010 Black,Lexus,RX,2010,local used,automatic,"₦ 13,200,000"
Volvo XC90 2008 Green,Volvo,XC90,2008,local used,automatic,"₦ 4,850,000"
BMW 528i 2014 White,BMW,528i,2014,foreign used,automatic,"₦ 13,500,000"
Lexus GX 460 Luxury 2018 Black,Lexus,GX 460,2018,foreign used,automatic,"₦ 41,000,000"
Mercedes-Benz A-Class 2019 Beige,Mercedes-Benz,A-Class,2019,foreign used,automatic,"₦ 35,000,000"
Toyota Corolla 2000 Green,Toyota,Corolla,2000,local used,automatic,"₦ 2,350,000"
Toyota RAV4 2.5 4x4 2010 Gray,Toyota,RAV4 2,2010,foreign used,automatic,"₦ 10,850,000"
Hyundai Elantra Sport Sedan FWD (2.0L 4cyl 6A) 2016 Orange,Hyundai,Elantra Sport,2016,foreign used,automatic,"₦ 15,500,000"
Toyota Corolla S Special Edition 4dr Sedan (1.8L 4cyl 4A) 2013 Silver,Toyota,Corolla S,2013,local used,automatic,"₦ 10,000,000"
Toyota Sienna 2006 Blue,Toyota,Sienna,2006,foreign used,automatic,"₦ 8,500,000"
Toyota Sienna 2001 Green,Toyota,Sienna,2001,local used,automatic,"₦ 2,600,000"
Toyota Camry SE Limited Edition 4dr Sedan (2.5L 4cyl 6A) 2012 Silver,Toyota,Camry SE,2012,foreign used,automatic,"₦ 13,000,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2018 White,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 34,499,999"
Toyota Corolla 2015 Black,Toyota,Corolla,2015,foreign used,automatic,"₦ 14,500,000"
Lexus GX 470 Sport Utility 2006 White,Lexus,GX 470,2006,local used,automatic,"₦ 8,000,000"
Toyota Hilux 2012,Toyota,Hilux,2012,local used,manual,"₦ 15,000,000"
Lexus RX 2004 Blue,Lexus,RX,2004,local used,automatic,"₦ 6,200,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 White,Toyota,Camry SE,2008,local used,automatic,"₦ 7,150,000"
Toyota Tundra 2014 Silver,Toyota,Tundra,2014,foreign used,automatic,"₦ 34,000,000"
Toyota Highlander 2020 Silver,Toyota,Highlander,2020,local used,automatic,"₦ 38,000,000"
Toyota Camry 2009 Black,Toyota,Camry,2009,foreign used,automatic,"₦ 5,600,000"
Toyota Venza 2009 Gray,Toyota,Venza,2009,local used,automatic,"₦ 11,500,000"
Rover Land 2016 Silver,Rover,Land,2016,foreign used,automatic,"₦ 17,500,000"
Toyota Highlander Limited V6 AWD 2003 Green,Toyota,Highlander Limited,2003,local used,automatic,"₦ 5,800,000"
Toyota Highlander 2004 Gold,Toyota,Highlander,2004,local used,automatic,"₦ 4,500,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 28,000,000"
Toyota Sienna 2005 Red,Toyota,Sienna,2005,foreign used,automatic,"₦ 9,999,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla LE,2010,local used,automatic,"₦ 5,750,000"
Toyota Matrix Hatchback 1.8 16V AWD 2007 Blue,Toyota,Matrix Hatchback,2007,local used,automatic,"₦ 4,400,000"
Toyota Tacoma Double Cab V6 Automatic 2012 Gray,Toyota,Tacoma Double,2012,foreign used,automatic,"₦ 24,500,000"
Cadillac Escalade 2022 Black,Cadillac,Escalade,2022,foreign used,automatic,"₦ 195,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 White,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 110,000,000"
Mazda CX-9 2008 Blue,Mazda,CX-9,2008,local used,automatic,"₦ 6,500,000"
Audi Q7 2.0T Premium AWD quattro 2017 Silver,Audi,Q7 2,2017,local used,automatic,"₦ 29,500,000"
Toyota RAV4 2.4 2008 Red,Toyota,RAV4 2,2008,local used,automatic,"₦ 7,250,000"
Toyota Highlander 2012 Gray,Toyota,Highlander,2012,foreign used,automatic,"₦ 18,500,000"
Honda Civic 2022 Blue,Honda,Civic,2022,foreign used,automatic,"₦ 30,500,000"
Lexus GX 470 2007 Gold,Lexus,GX 470,2007,local used,automatic,"₦ 7,900,000"
Lexus GX 470 Sport Utility 2005 Gray,Lexus,GX 470,2005,local used,automatic,"₦ 7,000,000"
Toyota Venza 2011 Black,Toyota,Venza,2011,local used,automatic,"₦ 11,500,000"
Honda Ridgeline 2008,Honda,Ridgeline,2008,local used,automatic,"₦ 6,150,000"
Lexus RX 350 2008,Lexus,RX 350,2008,foreign used,automatic,"₦ 15,500,000"
Toyota Venza XLE 4dr Wagon (2.7L 4cyl 6A) 2014 Silver,Toyota,Venza XLE,2014,foreign used,automatic,"₦ 18,950,000"
Lexus UX 2022 Silver,Lexus,UX,2022,foreign used,automatic,"₦ 55,000,000"
Toyota RAV4 2012 White,Toyota,RAV4,2012,foreign used,automatic,"₦ 13,000,000"
Toyota 4-Runner 2017 Gray,Toyota,4-Runner,2017,foreign used,automatic,"₦ 30,500,000"
Toyota Venza XLE 4dr Wagon (2.7L 4cyl 6A) 2014 Silver,Toyota,Venza XLE,2014,foreign used,automatic,"₦ 15,850,000"
Hyundai Sonata Sport PZEV 4dr Sedan (2.4L 4cyl 6A) 2015 Silver,Hyundai,Sonata Sport,2015,foreign used,automatic,"₦ 13,800,000"
Toyota Venza V6 AWD 2010 White,Toyota,Venza V6,2010,foreign used,automatic,"₦ 16,000,000"
Toyota Highlander 2004 Red,Toyota,Highlander,2004,local used,automatic,"₦ 4,700,000"
Ford Fusion SE FWD 2018 Gold,Ford,Fusion SE,2018,foreign used,automatic,"₦ 12,000,000"
Lexus RX 350 2011 Gold,Lexus,RX 350,2011,local used,automatic,"₦ 13,900,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry LE,2008,local used,automatic,"₦ 4,950,000"
Toyota Sienna LE AWD 2006 Green,Toyota,Sienna LE,2006,local used,automatic,"₦ 6,650,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 White,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 25,500,000"
New Toyota Land Cruiser Prado 2025 Black,New,Toyota Land,2025,brand new,automatic,"₦ 155,000,000"
New Lexus LX 2024 Black,New,Lexus LX,2024,brand new,automatic,"₦ 570,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Gray,Toyota,Corolla LE,2013,foreign used,automatic,"₦ 11,350,000"
Lexus GX 460 Luxury 2016 Black,Lexus,GX 460,2016,local used,automatic,"₦ 34,000,000"
Kia Optima EX 4dr Sedan (2.4L 4cyl 6A) 2015 Black,Kia,Optima EX,2015,local used,automatic,"₦ 6,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Blue,Toyota,Camry XLE,2010,local used,automatic,"₦ 6,200,000"
Ford Explorer 2012 Blue,Ford,Explorer,2012,local used,automatic,"₦ 7,800,000"
Honda Accord 2007 White,Honda,Accord,2007,local used,automatic,"₦ 3,300,000"
Ford Edge 2012 Black,Ford,Edge,2012,local used,automatic,"₦ 5,150,000"
Toyota Echo Sedan 2005 Black,Toyota,Echo Sedan,2005,local used,automatic,"₦ 4,200,000"
Ford F-150 2014 Black,Ford,F-150,2014,local used,automatic,"₦ 7,800,000"
Hyundai Sonata Limited 2.0T 4dr Sedan (2.0L 4cyl Turbo 6A) 2015 Orange,Hyundai,Sonata Limited,2015,local used,automatic,"₦ 9,300,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Maroon,Toyota,Camry SE,2013,foreign used,automatic,"₦ 12,750,000"
Toyota Venza 2014 Gray,Toyota,Venza,2014,foreign used,automatic,"₦ 22,000,000"
Lexus RX 350 AWD 2017 Black,Lexus,RX 350,2017,foreign used,automatic,"₦ 46,500,000"
Ford Edge 2008 Orange,Ford,Edge,2008,local used,automatic,"₦ 6,000,000"
Toyota RAV4 2008 White,Toyota,RAV4,2008,foreign used,automatic,"₦ 13,800,000"
Hyundai Tucson Limited AWD 2020 Red,Hyundai,Tucson Limited,2020,local used,automatic,"₦ 21,350,000"
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2016 Gold,Toyota,RAV4 Limited,2016,foreign used,automatic,"₦ 23,000,000"
Toyota Corolla 2005 Blue,Toyota,Corolla,2005,local used,automatic,"₦ 4,400,000"
Hyundai Elantra 2019 Gray,Hyundai,Elantra,2019,foreign used,automatic,"₦ 15,500,000"
Honda Accord 2003 Black,Honda,Accord,2003,local used,automatic,"₦ 2,900,000"
Mercedes-Benz M Class 2015 White,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 24,500,000"
Kia Sportage EX 4dr SUV (2.4L 4cyl 6A) 2013 Red,Kia,Sportage EX,2013,local used,automatic,"₦ 7,500,000"
Mercedes-Benz GLE-Class GLE 350 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 38,500,000"
Toyota Camry SE w/Special Edition Pkg (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry SE,2016,foreign used,automatic,"₦ 16,200,000"
Toyota Sienna XLE 7 Passenger 2011 Red,Toyota,Sienna XLE,2011,foreign used,automatic,"₦ 14,700,000"
Hyundai Tucson Limited AWD 2017 Black,Hyundai,Tucson Limited,2017,foreign used,automatic,"₦ 19,000,000"
New BYD Leopard 8 2.0 Hybrid AWD 2025 Gray,New,BYD Leopard,2025,brand new,automatic,"₦ 165,000,000"
Toyota Corolla 2020 White,Toyota,Corolla,2020,foreign used,automatic,"₦ 28,500,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander Limited,2018,foreign used,automatic,"₦ 28,000,000"
Toyota Corolla LE 2006 Blue,Toyota,Corolla LE,2006,local used,automatic,"₦ 4,100,000"
Toyota Sienna 2010 Blue,Toyota,Sienna,2010,local used,automatic,"₦ 6,000,000"
Volkswagen Golf TDI S 4dr Hatchback (2.0L 4cyl Turbodiesel 6AM) 2015,Volkswagen,Golf TDI,2015,foreign used,automatic,"₦ 12,300,000"
New Toyota Land Cruiser LC300 2023 White,New,Toyota Land,2023,brand new,automatic,"₦ 199,999,999"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2020 White,Mercedes-Benz,G-Class G,2020,foreign used,automatic,"₦ 299,999,999"
Lexus GX 460 Luxury 2019 Black,Lexus,GX 460,2019,local used,automatic,"₦ 43,000,000"
Toyota RAV4 2010 White,Toyota,RAV4,2010,local used,automatic,"₦ 7,500,000"
Ford Edge 2008 Black,Ford,Edge,2008,local used,automatic,"₦ 3,750,000"
Toyota Avalon 2013 Burgundy,Toyota,Avalon,2013,foreign used,automatic,"₦ 18,000,000"
Toyota RAV4 Automatic 2004 Silver,Toyota,RAV4 Automatic,2004,local used,automatic,"₦ 4,450,000"
Mercedes-Benz S-Class 2007 Black,Mercedes-Benz,S-Class,2007,local used,automatic,"₦ 8,300,000"
Honda CR-V 2008 Maroon,Honda,CR-V,2008,local used,automatic,"₦ 6,500,000"
Toyota Hilux 2014 White,Toyota,Hilux,2014,local used,manual,"₦ 17,000,000"
Toyota Camry 2016 Gray,Toyota,Camry,2016,foreign used,automatic,"₦ 13,800,000"
Toyota 4-Runner 2000 Green,Toyota,4-Runner,2000,local used,automatic,"₦ 4,200,000"
Ford Edge Limited 4dr FWD (3.5L 6cyl 6A) 2008 White,Ford,Edge Limited,2008,local used,automatic,"₦ 4,450,000"
Toyota RAV4 SE AWD (2.5L 4cyl 6A) 2016 Blue,Toyota,RAV4 SE,2016,foreign used,automatic,"₦ 23,750,000"
Toyota Sienna LE FWD 2006 Red,Toyota,Sienna LE,2006,local used,automatic,"₦ 6,000,000"
Toyota Camry 2000 Red,Toyota,Camry,2000,local used,automatic,"₦ 2,300,000"
Toyota Avalon Limited 2021 Black,Toyota,Avalon Limited,2021,foreign used,automatic,"₦ 31,000,000"
Lexus RX 2017 Blue,Lexus,RX,2017,local used,automatic,"₦ 29,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Black,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 13,650,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Gray,Toyota,Corolla LE,2013,local used,automatic,"₦ 8,250,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2015 White,Toyota,Corolla S,2015,foreign used,automatic,"₦ 11,850,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gray,Toyota,Camry XLE,2010,local used,automatic,"₦ 8,500,000"
Lexus ES 350 2010 White,Lexus,ES 350,2010,local used,automatic,"₦ 11,500,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2019 White,Mercedes-Benz,GLE-Class AMG,2019,foreign used,automatic,"₦ 69,000,000"
Toyota Yaris 2007 Silver,Toyota,Yaris,2007,local used,automatic,"₦ 6,300,000"
Toyota Yaris 1.5 Liftback 2008 Gray,Toyota,Yaris 1,2008,foreign used,manual,"₦ 6,000,000"
Lexus RX 2010 Black,Lexus,RX,2010,local used,automatic,"₦ 11,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Silver,Toyota,Camry LE,2012,local used,automatic,"₦ 9,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Blue,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 9,500,000"
Lexus RX 350 F Sport AWD 2017 White,Lexus,RX 350,2017,foreign used,automatic,"₦ 43,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes-Benz,GLK-Class 350,2010,foreign used,automatic,"₦ 12,500,000"
Honda CR-V EX-L FWD 2018 Silver,Honda,CR-V EX-L,2018,foreign used,automatic,"₦ 27,500,000"
New Jetour T2 i-DM 2026 Silver,New,Jetour T2,2026,brand new,automatic,"₦ 92,000,000"
Toyota Land Cruiser 4.5 V8 TD 2018 White,Toyota,Land Cruiser,2018,local used,automatic,"₦ 45,000,000"
Mercedes-Benz M Class 2014 White,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 24,500,000"
Toyota Corolla CE 2006 Gray,Toyota,Corolla CE,2006,local used,automatic,"₦ 4,450,000"
Toyota Camry LE V6 4dr Sedan (3.5L 6cyl 6AM) 2010 Black,Toyota,Camry LE,2010,local used,automatic,"₦ 4,650,000"
Acura MDX Touring Package 2004 Gold,Acura,MDX Touring,2004,local used,automatic,"₦ 3,500,000"
Hyundai Santa Fe Limited Ultimate AWD 2018 Gray,Hyundai,Santa Fe,2018,foreign used,automatic,"₦ 25,000,000"
Toyota Land Cruiser 2024 Gray,Toyota,Land Cruiser,2024,foreign used,automatic,"₦ 175,999,999"
Hyundai Santa Fe 2014 Black,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 16,500,000"
New Cadillac Escalade 2025 Gray,New,Cadillac Escalade,2025,brand new,automatic,"₦ 325,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Gray,Toyota,Camry LE,2007,foreign used,automatic,"₦ 9,000,000"
Toyota Avalon 2015 Silver,Toyota,Avalon,2015,local used,automatic,"₦ 13,800,000"
Toyota Highlander 2023 Red,Toyota,Highlander,2023,foreign used,automatic,"₦ 65,000,000"
Honda Accord 2012 Gray,Honda,Accord,2012,foreign used,automatic,"₦ 10,800,000"
Toyota Camry 2014 Red,Toyota,Camry,2014,local used,automatic,"₦ 12,500,000"
Ford Fusion S 2010 Silver,Ford,Fusion S,2010,local used,automatic,"₦ 2,300,000"
Toyota Camry 2008 Red,Toyota,Camry,2008,local used,automatic,"₦ 5,200,000"
Pontiac Vibe 2006 Red,Pontiac,Vibe,2006,local used,automatic,"₦ 4,800,000"
Lexus RX 350 F Sport AWD 2018 Blue,Lexus,RX 350,2018,local used,automatic,"₦ 38,500,000"
Mercedes-Benz GLK-Class 2013 Silver,Mercedes-Benz,GLK-Class,2013,foreign used,automatic,"₦ 17,500,000"
Toyota Corolla 2015,Toyota,Corolla,2015,foreign used,automatic,"₦ 14,700,000"
Toyota RAV4 2012 Black,Toyota,RAV4,2012,foreign used,automatic,"₦ 22,000,000"
Lexus RX 350 2010 Black,Lexus,RX 350,2010,foreign used,automatic,"₦ 18,500,000"
Honda Crosstour 3.5 AWD 2011 Gray,Honda,Crosstour 3,2011,local used,automatic,"₦ 6,200,000"
Toyota Camry LE 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry LE,2014,foreign used,automatic,"₦ 13,500,000"
Mitsubishi Pajero 3.8 V6 GLS/GLX 2010 Black,Mitsubishi,Pajero 3,2010,local used,automatic,"₦ 12,500,000"
Toyota Highlander V6 2005 Silver,Toyota,Highlander V6,2005,local used,automatic,"₦ 5,600,000"
Toyota Avalon 2016 Gold,Toyota,Avalon,2016,foreign used,automatic,"₦ 20,000,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (2.0L 4cyl 7A) 2016 White,Mercedes-Benz,C300 Luxury,2016,foreign used,automatic,"₦ 24,000,000"
Toyota RAV4 XLE FWD 2020 Silver,Toyota,RAV4 XLE,2020,foreign used,automatic,"₦ 37,800,000"
Lexus RX 350 AWD 2014 Black,Lexus,RX 350,2014,foreign used,automatic,"₦ 24,500,000"
Toyota Corolla LE 2005 Gray,Toyota,Corolla LE,2005,local used,automatic,"₦ 5,000,000"
Toyota Land Cruiser Prado 2.7 VVT-i 2015 Black,Toyota,Land Cruiser,2015,local used,automatic,"₦ 33,500,000"
New BYD Song Pro DM-i 2025 Gray,New,BYD Song,2025,brand new,automatic,"₦ 76,000,000"
Toyota 4-Runner Limited 4x4 2018 Gray,Toyota,4-Runner Limited,2018,foreign used,automatic,"₦ 40,000,000"
