title,make,model,year,condition,transmission,price
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (2.0L 4cyl 7A) 2016 Blue,Mercedes-Benz,C300 Luxury,2016,foreign used,automatic,"₦ 26,000,000"
Toyota Avalon XLE Premium 4dr Sedan (3.5L 6cyl 6A) 2014 Gold,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 20,500,000"
Toyota Highlander SE 2011 Gray,Toyota,Highlander SE,2011,foreign used,automatic,"₦ 19,000,000"
Lexus GS 350 2013 Black,Lexus,GS 350,2013,foreign used,automatic,"₦ 23,500,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2022 Black,Mercedes-Benz,GLE-Class AMG,2022,foreign used,automatic,"₦ 153,000,000"
Lexus GX 460 Base 2017 Black,Lexus,GX 460,2017,foreign used,automatic,"₦ 58,000,000"
Acura MDX Technology Package 4dr SUV (3.5L 6cyl 6A) 2015 White,Acura,MDX Technology,2015,foreign used,automatic,"₦ 22,000,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2017 Red,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 32,200,000"
Land Rover Range Rover Velar P340 SE R-Dynamic 4x4 2019 Gray,Land,Rover Range,2019,foreign used,automatic,"₦ 68,500,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2017 Gray,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 33,300,000"
Toyota Corolla SE Special Edition 4dr Sedan (1.8L 4cyl CVT) 2017 Black,Toyota,Corolla SE,2017,foreign used,automatic,"₦ 17,200,000"
Toyota RAV4 XLE FWD 2019 Black,Toyota,RAV4 XLE,2019,foreign used,automatic,"₦ 38,000,000"
Ford Explorer 2014 Red,Ford,Explorer,2014,foreign used,automatic,"₦ 15,900,000"
Toyota Avalon 2013 Gold,Toyota,Avalon,2013,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz GLK-Class 350 2011 White,Mercedes-Benz,GLK-Class 350,2011,foreign used,automatic,"₦ 17,000,000"
Lexus RX 350 2010 Gold,Lexus,RX 350,2010,foreign used,automatic,"₦ 20,000,000"
Toyota RAV4 XLE FWD 2019 Blue,Toyota,RAV4 XLE,2019,foreign used,automatic,"₦ 40,000,000"
Hyundai Sonata Base Sedan FWD (2.4L 4cyl 6A) 2016 White,Hyundai,Sonata Base,2016,foreign used,automatic,"₦ 13,500,000"
Mercedes-Benz GL-Class GL450 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A),,,,local used,automatic,"₦ 20,000,000"
Jeep Wrangler Sahara 4x4 2017 Gray,Jeep,Wrangler Sahara,2017,foreign used,automatic,"₦ 44,000,000"
Hyundai Santa Fe Limited FWD 2017 White,Hyundai,Santa Fe,2017,foreign used,automatic,"₦ 22,500,000"
Toyota Highlander 2018 White,Toyota,Highlander,2018,foreign used,automatic,"₦ 36,000,000"
Lexus NX 200t AWD 2017 Silver,Lexus,NX 200t,2017,foreign used,automatic,"₦ 33,400,000"
Mercedes-Benz GLS-Class GLS450 4Matic 2017 White,Mercedes-Benz,GLS-Class GLS450,2017,foreign used,automatic,"₦ 51,000,000"
Honda Accord Crosstour EX-L w/Navigation 2015 White,Honda,Accord Crosstour,2015,foreign used,automatic,"₦ 18,800,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2014 White,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 18,000,000"
Toyota Sienna Limited 7 Passenger 2011 Gray,Toyota,Sienna Limited,2011,foreign used,automatic,"₦ 17,500,000"
Hyundai Santa Fe SE Ultimate AWD 2017 White,Hyundai,Santa Fe,2017,foreign used,automatic,"₦ 22,100,000"
Mercedes-Benz S-Class S 550 4MATIC 2016 Black,Mercedes-Benz,S-Class S,2016,foreign used,automatic,"₦ 53,000,000"
Lexus LX 2017 Gray,Lexus,LX,2017,foreign used,automatic,"₦ 105,000,000"
Hyundai Sonata SE 2021 Black,Hyundai,Sonata SE,2021,foreign used,automatic,"₦ 30,000,000"
Hyundai Santa Fe Sport 2013 White,Hyundai,Santa Fe,2013,foreign used,automatic,"₦ 16,500,000"
Hyundai Tucson Limited FWD 2017 Blue,Hyundai,Tucson Limited,2017,foreign used,automatic,"₦ 15,000,000"
Lexus ES 350 FWD 2017 Red,Lexus,ES 350,2017,foreign used,automatic,"₦ 30,500,000"
Mini Cooper Classic 2013 Silver,Mini,Cooper Classic,2013,foreign used,automatic,"₦ 15,200,000"
Hyundai Santa Fe Limited 2.0T FWD 2019 Blue,Hyundai,Santa Fe,2019,foreign used,automatic,"₦ 23,500,000"
Honda CR-V PHEV 2.0 AWD 2023 Silver,Honda,CR-V PHEV,2023,foreign used,automatic,"₦ 45,000,000"
Honda Pilot LX AWD 2018 Black,Honda,Pilot LX,2018,foreign used,automatic,"₦ 27,500,000"
Toyota Highlander Platinum FWD 2023 Black,Toyota,Highlander Platinum,2023,foreign used,automatic,"₦ 77,000,000"
Toyota Highlander Sport 2010 Gray,Toyota,Highlander Sport,2010,foreign used,automatic,"₦ 18,000,000"
Mercedes-Benz M Class ML 350 4Matic 2007 Gold,Mercedes-Benz,M Class,2007,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz GLA 250 2017 Gray,Mercedes-Benz,GLA 250,2017,foreign used,automatic,"₦ 25,500,000"
Hyundai Palisade 2021 White,Hyundai,Palisade,2021,foreign used,automatic,"₦ 33,500,000"
Ford Expedition Max 2018 White,Ford,Expedition Max,2018,foreign used,automatic,"₦ 55,000,000"
Toyota Tundra 2023 Black,Toyota,Tundra,2023,foreign used,automatic,"₦ 130,000,000"
Toyota Corolla 2012 White,Toyota,Corolla,2012,foreign used,automatic,"₦ 11,300,000"
Mercedes-Benz C300 Base C300 AWD 4MATIC Sedan 2018 Gray,Mercedes-Benz,C300 Base,2018,foreign used,automatic,"₦ 29,500,000"
Acura MDX SH-AWD w/Technology Package 4dr SUV AWD (3.5L 6cyl 6A) 2015,Acura,MDX SH-AWD,2015,foreign used,automatic,"₦ 22,000,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2017 White,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 36,500,000"
Honda Pilot LX 4dr SUV 4WD (3.5L 6cyl 5A) 2011 Black,Honda,Pilot LX,2011,foreign used,automatic,"₦ 13,500,000"
Lexus NX 200t FWD 2017 Red,Lexus,NX 200t,2017,foreign used,automatic,"₦ 43,000,000"
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2017 Blue,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 36,500,000"
Toyota RAV4 XLE 2021 Black,Toyota,RAV4 XLE,2021,foreign used,automatic,"₦ 45,000,000"
Toyota 4-Runner SR5 4dr SUV 4WD (4.0L 6cyl 5A) 2015 Gray,Toyota,4-Runner SR5,2015,foreign used,automatic,"₦ 34,300,000"
